date,schedule,etips,cash,deliveries,km,hrs,earnings,net,nethrs,bonus,avg_net/hrs
11/12/20,18-22,"5,5",10,10,"34,2",4,"44,3","56,02","14,01",,"12,81"
12/12/20,18-22,2,7,9,27,4,"43,76","49,13","12,28",,
13/12/20,18-22,4,"7,1",8,"29,4",4,40,"47,08","11,77",,
14/12/20,,,,,,,,,,,
15/12/20,,,,,,,,,,,
16/12/20,17-21,"5,5","6,8",10,"32,9",4,"43,78","52,42","13,11",,
17/12/20,18-22,5,4,10,"32,6",4,"41,78","47,72","11,93",,
18/12/20,16-22,5,"7,5",17,"46,1",6,"70,22","78,55","13,09",,
19/12/20,16-22,2,"5,7",12,"50,1",6,90,"85,46","14,24",,
20/12/20,16-22,10,"9,9",13,"42,2",6,60,"73,73","12,29",,
21/12/20,18.30-20.30,2,2,5,"17,1",2,"22,43","24,65","12,33",,
22/12/20,11.30-13.30 17-19,1,"7,8",11,35,4,"60,52","63,55","15,89",,
23/12/20,12-16,2,"3,2",5,"26,6",4,"42,7","41,28","10,32",,
24/12/20,17-19,0,0,3,10,2,30,"25,27","12,64",,
25/12/20,,,,,,,,,,,
26/12/20,,,,,,,,,,,
27/12/20,16-20,4,"2,5",6,"25,5",4,40,"40,86","10,22",,
28/12/20,,,,,,,,,,,
29/12/20,18.30-20.30,3,5,5,"17,7",2,"22,43","28,41","14,21",,
30/12/20,,,,,,,,,,,
31/12/20,,,,,,,,,,,
1/1/21,15.30-19.30,7,0,8,"28,7",4,"78,96","71,91","17,98",,
2/1/21,18.30-22.30,"8,8",8,9,"27,5",4,"40,52","52,84","13,21",,
3/1/21,17.30-21.30,5,"8,5",13,"30,3",4,51,"61,67","15,42",160,
4/1/21,18.30-20.30,1,10,6,"15,6",2,"23,31","33,37","16,69",,
5/1/21,18.30-20.30,3,2,6,"16,5",2,"24,4","27,72","13,86",,
6/1/21,,,,,,,,,,,
7/1/21,12.00-14.00 18.30-22.30,"4,5","7,5",14,"38,6",4,"63,2","70,39","17,6",,
8/1/21,11.30-13.30 18.00-22.00,7,"2,5",11,"46,8",4,60,"62,42","15,61",,
9/1/21,18.00-22.00,4,10,7,"35,8",4,40,"49,17","12,29",,
