date,schedule,hrs,etips,cash,deliveries,km,earnings,net,nethrs,tipdel,kmdel,delhrs,day,strhr,more
2020-12-11,18-22,4,5.5,10.0,10,34.2,44.3,56.02,14.01,1.55,3.42,2.5,Friday,18.0,1.0749999999999993
2020-12-12,18-22,4,2.0,7.0,9,27.0,43.76,49.13,12.28,1.0,3.0,2.25,Saturday,18.0,0.9399999999999995
2020-12-13,18-22,4,4.0,7.1,8,29.4,40.0,47.08,11.77,1.39,3.68,2.0,Sunday,18.0,0.0
2020-12-16,17-21,4,5.5,6.8,10,32.9,43.78,52.42,13.11,1.23,3.29,2.5,Wednesday,17.0,0.9450000000000003
2020-12-17,18-22,4,5.0,4.0,10,32.6,41.78,47.72,11.93,0.9,3.26,2.5,Thursday,18.0,0.4450000000000003
2020-12-18,16-22,6,5.0,7.5,17,46.1,70.22,78.55,13.09,0.74,2.71,2.83,Friday,16.0,1.7033333333333331
2020-12-19,16-22,6,2.0,5.7,12,50.1,90.0,85.46,14.24,0.64,4.18,2.0,Saturday,16.0,5.0
2020-12-20,16-22,6,10.0,9.9,13,42.2,60.0,73.73,12.29,1.53,3.25,2.17,Sunday,16.0,0.0
2020-12-21,18.30-20.30,2,2.0,2.0,5,17.1,22.43,24.65,12.33,0.8,3.42,2.5,Monday,18.5,1.2149999999999999
2020-12-22,11.30-13.30 17-19,4,1.0,7.8,11,35.0,60.52,63.55,15.89,0.8,3.18,2.75,Tuesday,11.5,5.130000000000001
2020-12-23,12-16,4,2.0,3.2,5,26.6,42.7,41.28,10.32,1.04,5.32,1.25,Wednesday,12.0,0.6750000000000007
2020-12-24,17-19,2,0.0,0.0,3,10.0,30.0,25.27,12.64,0.0,3.33,1.5,Thursday,17.0,5.0
2020-12-27,16-20,4,4.0,2.5,6,25.5,40.0,40.86,10.22,1.08,4.25,1.5,Sunday,16.0,0.0
2020-12-29,18.30-20.30,2,3.0,5.0,5,17.7,22.43,28.41,14.21,1.6,3.54,2.5,Tuesday,18.5,1.2149999999999999
2021-01-01,15.30-19.30,4,7.0,0.0,8,28.7,78.96,71.91,17.98,0.88,3.59,2.0,Friday,15.5,9.739999999999998
2021-01-02,18.30-22.30,4,8.8,8.0,9,27.5,40.52,52.84,13.21,1.87,3.06,2.25,Saturday,18.5,0.13000000000000078
2021-01-03,17.30-21.30,4,5.0,8.5,13,30.3,51.0,61.67,15.42,1.04,2.33,3.25,Sunday,17.5,2.75
2021-01-04,18.30-20.30,2,1.0,10.0,6,15.6,23.31,33.37,16.69,1.83,2.6,3.0,Monday,18.5,1.6549999999999994
