time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-12-26 23:00:00,2020-12-27 00:00:00,1.1,-2,80,0,,190,24,38,1013.5,0,4
2020-12-27 00:00:00,2020-12-27 01:00:00,2.1,-1.9,75,0,0,200,28,37,1012.6,0,4
2020-12-27 01:00:00,2020-12-27 02:00:00,1.1,-2,80,0,,200,24,42,1011.3,0,2
2020-12-27 02:00:00,2020-12-27 03:00:00,1.1,-2,80,0,,200,26,40,1010.1,0,4
2020-12-27 03:00:00,2020-12-27 04:00:00,1.1,-2,80,0,,190,28,41,1008.8,0,4
2020-12-27 04:00:00,2020-12-27 05:00:00,1.1,-2.8,75,0,,190,28,40,1007.7,0,4
2020-12-27 05:00:00,2020-12-27 06:00:00,1.1,-2.8,75,0,,180,28,46,1006.4,0,4
2020-12-27 06:00:00,2020-12-27 07:00:00,1.1,-2.8,75,0,0,190,34,44,1005.8,0,4
2020-12-27 07:00:00,2020-12-27 08:00:00,1.1,-4,69,0,,180,32,46,1004.1,0,4
2020-12-27 08:00:00,2020-12-27 09:00:00,1.1,-5,64,0,,170,39,57,1003.3,0,4
2020-12-27 09:00:00,2020-12-27 10:00:00,1.1,-5.8,60,0,,170,37,59,1002.7,0,4
2020-12-27 10:00:00,2020-12-27 11:00:00,1.1,-5,64,0,,170,30,52,1002.2,6,4
2020-12-27 11:00:00,2020-12-27 12:00:00,1.1,-5.8,60,0,,170,32,46,1000.8,0,4
2020-12-27 12:00:00,2020-12-27 13:00:00,2.1,-6,55,0,0,170,28,48,999,0,4
2020-12-27 13:00:00,2020-12-27 14:00:00,2.1,-6,55,0,,160,30,46,997.6,0,4
2020-12-27 14:00:00,2020-12-27 15:00:00,2.1,-7,51,0,,160,32,49,996.3,0,4
2020-12-27 15:00:00,2020-12-27 16:00:00,2.1,-7.8,48,0,,150,32,49,995.4,0,4
2020-12-27 16:00:00,2020-12-27 17:00:00,1.1,-6.9,55,0,,160,28,43,994.1,0,4
2020-12-27 17:00:00,2020-12-27 18:00:00,1.1,-6.9,55,0,,150,32,48,992.6,0,4
2020-12-27 18:00:00,2020-12-27 19:00:00,1.1,-5.8,60,0,0,150,32,45,991.8,0,4
2020-12-27 19:00:00,2020-12-27 20:00:00,2.1,-6,55,0,,150,30,47,990.7,0,4
2020-12-27 20:00:00,2020-12-27 21:00:00,2.1,-4.9,60,0,,150,30,46,989.4,0,4
2020-12-27 21:00:00,2020-12-27 22:00:00,2.1,-4.9,60,0,,150,28,44,988.9,0,4
2020-12-27 22:00:00,2020-12-27 23:00:00,2.1,-4.9,60,0,,150,24,43,988.4,0,4
2020-12-27 23:00:00,2020-12-28 00:00:00,2.1,-4.9,60,0,,160,26,35,988.1,0,4
2020-12-28 00:00:00,2020-12-28 01:00:00,2.1,-3.8,65,0,0,150,22,33,987.6,0,4
2020-12-28 01:00:00,2020-12-28 02:00:00,2.1,-2.8,70,0,,140,15,30,987,0,4
2020-12-28 02:00:00,2020-12-28 03:00:00,2.1,-1.9,75,0,,130,18,28,986.4,0,4
2020-12-28 03:00:00,2020-12-28 04:00:00,2.1,-1.9,75,0,,150,13,27,986,0,4
2020-12-28 04:00:00,2020-12-28 05:00:00,2.1,-0.8,81,0,,120,11,18,985.8,0,4
2020-12-28 05:00:00,2020-12-28 06:00:00,2.1,-0.8,81,0,,110,17,27,984.9,0,4
2020-12-28 06:00:00,2020-12-28 07:00:00,2.1,-0.8,81,0,0,120,17,28,984.6,0,4
2020-12-28 07:00:00,2020-12-28 08:00:00,2.1,-0.8,81,0,,120,15,22,984.3,0,4
2020-12-28 08:00:00,2020-12-28 09:00:00,2.1,-0.8,81,0,,130,15,22,984.3,0,4
2020-12-28 09:00:00,2020-12-28 10:00:00,3.1,-0.9,75,0,,140,18,25,984.4,0,3
2020-12-28 10:00:00,2020-12-28 11:00:00,3.1,-0.9,75,0,,150,17,26,984.4,0,3
2020-12-28 11:00:00,2020-12-28 12:00:00,4.1,0.1,75,0,,150,18,28,984,0,3
2020-12-28 12:00:00,2020-12-28 13:00:00,5.1,0.1,70,0,0,150,18,28,983.9,46,3
2020-12-28 13:00:00,2020-12-28 14:00:00,4.1,0.1,75,0,,160,17,30,984.5,7,4
2020-12-28 14:00:00,2020-12-28 15:00:00,4.1,0.1,75,0,,160,13,25,984.3,0,3
2020-12-28 15:00:00,2020-12-28 16:00:00,3.1,-0.9,75,0,,120,11,18,984.5,0,3
2020-12-28 16:00:00,2020-12-28 17:00:00,2.1,-0.8,81,0,,120,13,21,984.5,0,3
2020-12-28 17:00:00,2020-12-28 18:00:00,2.1,0.2,87,0,,120,13,20,984.6,0,4
2020-12-28 18:00:00,2020-12-28 19:00:00,2.1,0.2,87,0,0,120,17,22,984.4,0,7
2020-12-28 19:00:00,2020-12-28 20:00:00,2.1,0.2,87,0,,100,13,21,984.2,0,4
2020-12-28 20:00:00,2020-12-28 21:00:00,3.1,0.2,81,0,,120,17,24,984.4,0,4
2020-12-28 21:00:00,2020-12-28 22:00:00,3.1,0.2,81,0,,130,13,23,983.7,0,4
2020-12-28 22:00:00,2020-12-28 23:00:00,2.1,1.1,93,0.2,,110,5,18,983.5,0,7
2020-12-28 23:00:00,2020-12-29 00:00:00,2.1,1.1,93,0.1,,80,4,8,983.3,0,7
2020-12-29 00:00:00,2020-12-29 01:00:00,1.1,1.1,100,0.6,0,70,8,9,983,0,7
2020-12-29 01:00:00,2020-12-29 02:00:00,1.1,1.1,100,0.4,,60,5,9,982.7,0,7
2020-12-29 02:00:00,2020-12-29 03:00:00,1.1,1.1,100,0,,120,11,17,983.5,0,7
2020-12-29 03:00:00,2020-12-29 04:00:00,1.1,1.1,100,0,,150,11,17,982.8,0,4
2020-12-29 04:00:00,2020-12-29 05:00:00,1.1,1.1,100,0,,160,15,22,983.5,0,4
2020-12-29 05:00:00,2020-12-29 06:00:00,1.1,0.1,93,0,,190,13,22,983.4,0,3
2020-12-29 06:00:00,2020-12-29 07:00:00,0.1,0.1,100,0,0,200,11,28,984.2,0,3
2020-12-29 07:00:00,2020-12-29 08:00:00,0.1,-0.9,93,0,,200,11,21,984.8,0,3
2020-12-29 08:00:00,2020-12-29 09:00:00,0.1,-0.9,93,0,,160,8,15,985.6,0,4
2020-12-29 09:00:00,2020-12-29 10:00:00,0.1,0.1,100,0,,170,13,18,986.6,16,3
