time,time_local,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-12-05 23:00:00,2020-12-06 00:00:00,3.1,0.2,81,0,,40,15,22,1004.6,0,4
2020-12-06 00:00:00,2020-12-06 01:00:00,2.1,1.1,93,0,0,50,11,18,1004.5,0,4
2020-12-06 01:00:00,2020-12-06 02:00:00,2.1,1.1,93,0,,60,15,17,1003.9,0,4
2020-12-06 02:00:00,2020-12-06 03:00:00,4.1,2.1,87,0,,80,15,22,1003.2,0,3
2020-12-06 03:00:00,2020-12-06 04:00:00,3.1,2.1,93,0,,90,18,25,1002.8,0,3
2020-12-06 04:00:00,2020-12-06 05:00:00,4.1,3.1,93,0,,90,15,22,1002.4,0,3
2020-12-06 05:00:00,2020-12-06 06:00:00,3.1,2.1,93,0,,60,15,18,1002.3,0,3
2020-12-06 06:00:00,2020-12-06 07:00:00,4.1,3.1,93,0,0,90,15,21,1002.3,0,3
2020-12-06 07:00:00,2020-12-06 08:00:00,4.1,3.1,93,0,,90,17,20,1002.3,0,4
2020-12-06 08:00:00,2020-12-06 09:00:00,5.1,4.1,93,0,,100,18,26,1002.1,0,4
2020-12-06 09:00:00,2020-12-06 10:00:00,6.1,5.1,93,0,,100,18,25,1002.1,0,4
2020-12-06 10:00:00,2020-12-06 11:00:00,8.1,5,81,0,,110,22,30,1001.5,4,3
2020-12-06 11:00:00,2020-12-06 12:00:00,10.1,6.1,76,0,,120,26,38,1001.2,56,3
2020-12-06 12:00:00,2020-12-06 13:00:00,11.1,6,71,0,0,110,22,37,1001,8,3
2020-12-06 13:00:00,2020-12-06 14:00:00,11.1,6,71,0,,120,22,35,1000.5,23,3
2020-12-06 14:00:00,2020-12-06 15:00:00,10.1,6.1,76,0,,100,18,32,1000.2,29,3
2020-12-06 15:00:00,2020-12-06 16:00:00,9.1,6.2,82,0,,90,15,27,1000.2,0,3
2020-12-06 16:00:00,2020-12-06 17:00:00,10.1,6.1,76,0,,110,21,28,1000.6,0,3
2020-12-06 17:00:00,2020-12-06 18:00:00,10.1,6.1,76,0,,110,24,33,1001,0,3
2020-12-06 18:00:00,2020-12-06 19:00:00,10.1,6.1,76,0,0,110,22,38,1000.9,0,3
2020-12-06 19:00:00,2020-12-06 20:00:00,10.1,6.1,76,0,,110,22,36,1000.8,0,2
2020-12-06 20:00:00,2020-12-06 21:00:00,9.1,5.1,76,0,,90,17,38,1000.9,0,2
